id,asins,brand,categories,colors,dateAdded,name,prices.amountMin,prices.currency
AVpfOVD1LJeJML435AiY,"B013OMKBEK,B013OMKUIM",500 LEVEL,"Sports,Clothing, Shoes & Jewelry,Men,Clothing,Active,Active Hoodies","White,Red,Gray",2015-12-19T01:09:24Z,P.k. Subban Montreal Men's Lace Hoodie P.k. Subban Puck,50.00,USD
AVpe5Jar1cnluZ0-ZMeH,B00V6YC4OY,MG,"Clothing,Novelty,Baseball Caps,Accessories,Men,Novelty & More,Clothing, Shoes & Jewelry,Hats & Caps","Brown,Kelly,Grey,Red",2015-07-12T20:34:05Z,Mg Unisex Low Profile Washed Plaid Cotton Twill Cap-6880,13.0,USD
AVpfRaeJ1cnluZ0-hjWT,"B00E41Y4US,B00E41YES0,B00GHHEY5M,B00E41YJRG",Chaco,"Athletic,Water Shoes,Men,Shoes,Clothing, Shoes & Jewelry","Gunmetal,Chocolate Brown,Steel",2015-12-01T04:03:10Z,Men's Outcross Lace Water Shoe,64.44,USD
AVpe8GoPilAPnD_xRVHg,B001IX88W0,Nixon,"Watches,Clothing, Shoes & Jewelry,Men,Surf, Skate & Street,Wrist Watches",Black,2015-09-20T20:39:51Z,51-30 Chronograph Black Dial Stainless Steel Mens Watch,430.0,USD
AVpfPsViilAPnD_xYAkG,B00YXV03AY,Shimano,"Athletic,Cycling,Men,Shoes,Clothing, Shoes & Jewelry,Sports",Black,2016-03-02T23:44:04Z,Shimano Men's Sh-mw7 Mountain Bike Shoe,189.95,USD
AVpfVVgxLJeJML437R-_,"B01B6JD2TO,B01015LCLO",La Sportiva,"Shoes,Clothing, Shoes & Jewelry,Men,Athletic,Running",Black  Yellow,2016-03-07T05:16:57Z,La Sportiva Men's Akasha Trail Running Shoes,109.16,USD
AVpe7TeQLJeJML43yeeT,"B00S35SHLS,B00S5A8NX8",Nike,"Athletic,Team Sports,Men,Basketball,Shoes,Clothing, Shoes & Jewelry",Brown,2015-10-14T03:06:48Z,Nike Air Python Premium,89.99,USD
AVpfTVqz1cnluZ0-iKmY,"B015PQZW8S,B002SRXQJU,B004FQ4P10,B001CCW2LA,B015PQZV2K,B00VT2Y9KA,B00E4GUWVS,B000SD563K",Nike,"Men,Fashion Sneakers,Shoes,Clothing, Shoes & Jewelry","Multi-Colored,Dark Grey,Blue White,Black  Grey,dark electric blue,Orange-Violet,BLACKRED-WHITE-GOLD,black black black ,White  White-White-White,WHITEDARK GREY-BLACK-BRIGHT CRIMSON,blackblack-wolf gray,BLACKANTHRACITEUNIVERSITY REDCOOL GRE,Grau,BLACKHYPER CRIMSONBLACK,Black Wolf Grey,WhiteWhite-Silver-Dark Grey,WhiteBlackWolf GreyHyper Pink,White,WhiteWhiteSilverDark Grey",2015-12-02T00:19:18Z,Men's Air Max 90 Essential Running Shoe,46.05,USD
AVpe9QZB1cnluZ0-atHs,B0091OL8XY,Sockwell,"Active,Men,Athletic Socks,Clothing, Shoes & Jewelry,Sports,Clothing","Natural,Black,Grey",2015-11-21T22:38:12Z,Sockwell Men's Relaxed Fit Quarter Sock,12.43,USD
AVpfMh7nilAPnD_xW-k2,"B00BU7WUIM,B002O1HYWU,B00BLMVS8Y",Ellie Shoes,"Oxfords,Men,Shoes,Clothing, Shoes & Jewelry","Black,Black w White,multi-colored",2016-05-17T10:02:13Z,"121-fred 1 Spectator Oxford""",26.96,USD
